geolocation,industry_description,number_of_establishments_2021,total_employment_at_2021,paid_employees_at_2021,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2021,total_revenue_2021,total_expense_2021,compensation_2021,other_expense_2021,value_added_2021,gross_additions_to_tangible_fixed_assets_2021,change_in_inventories_2021,sales_from_e-commerce_transactions_2021,subsidies_2021
Cordillera Administrative Region,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Radio broadcasting,13,138,136,21,110161,92756,20995,71761,57936,1595,-124,0,0
Cordillera Administrative Region,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Satellite telecommunications activities,3,120,120,0,32192,30566,2192,28374,4728,0,0,0,0
Cordillera Administrative Region,Other telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Computer programming, consultancy and related activities",8,494,494,50,210870,223643,103190,120454,96501,1747,-33,0,0
Cordillera Administrative Region,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Information and Communication,66,1539,1531,9,3787502,3125616,481599,2644017,1471598,54542,820,0,0
Ilocos Region,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Radio broadcasting,26,245,245,5,156774,124915,47770,77145,90415,890,-28,0,0
Ilocos Region,Television programming and broadcasting activities,4,75,75,0,472153,266273,152134,114139,367995,0,0,0,0
Ilocos Region,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Satellite telecommunications activities,9,268,266,2,1000509,734076,60561,673515,579864,1511,-85,0,0
Ilocos Region,Other telecommunications activities,17,320,315,0,279035,248424,51297,197127,99935,52018,990,0,0
Ilocos Region,"Computer programming, consultancy and related activities",4,586,586,0,1831503,1733671,161075,1572596,294458,0,-48,0,0
Ilocos Region,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Information and Communication,48,561,545,3,543777,658402,96676,561726,160435,104758,-7232,0,0
Cagayan Valley,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Radio broadcasting,12,126,126,0,37584,18567,8062,10506,28255,0,5,0,0
Cagayan Valley,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Wireless telecommunications activities,3,70,70,0,223960,443080,31543,411537,-26708,104558,-1304,0,0
Cagayan Valley,Satellite telecommunications activities,18,301,290,3,238148,154559,48644,105915,145551,200,-5958,0,0
Cagayan Valley,Other telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Computer programming, consultancy and related activities",3,19,18,0,21987,23081,2729,20352,2946,0,109,0,0
Cagayan Valley,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Information and Communication,106,2745,2734,55,4484768,4086487,737079,3349408,1226885,5116,113426,0,0
Central Luzon,"Publishing of books, periodicals and other publishing activities",4,83,81,0,48762,37203,22946,14257,36297,768,0,0,0
Central Luzon,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Radio broadcasting,14,173,173,0,111030,97281,49102,48180,74395,128,-50,0,0
Central Luzon,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Wireless telecommunications activities,7,276,276,11,98962,84106,55306,28800,76195,0,-857,0,0
Central Luzon,Satellite telecommunications activities,31,429,429,0,607544,539009,85333,453675,188699,2669,-2319,0,0
Central Luzon,Other telecommunications activities,23,230,225,3,235451,197964,90157,107807,137393,4213,3348,0,0
Central Luzon,"Computer programming, consultancy and related activities",18,757,754,41,2987135,2763855,213563,2550292,464290,-3501,120884,0,0
Central Luzon,"Data processing, hosting and related activities; web portals",5,728,728,0,317157,293019,206898,86121,229199,839,-5030,0,0
Central Luzon,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Information and Communication,159,5625,5587,695,8617064,7459735,1104279,6355457,2686370,104357,13024,0,0
Calabarzon,"Publishing of books, periodicals and other publishing activities",8,49,47,1,35775,38894,11499,27394,15688,4,-1109,0,0
Calabarzon,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Radio broadcasting,15,153,153,3,66717,56955,18301,38654,40690,1133,158,0,0
Calabarzon,Television programming and broadcasting activities,4,27,27,0,88196,52358,28048,24310,66063,0,0,0,0
Calabarzon,Wired telecommunications activities,4,66,66,1,45963,44334,12301,32033,22634,5267,-539,0,0
Calabarzon,Wireless telecommunications activities,6,259,259,0,143013,113756,57173,56583,93796,0,1104,0,0
Calabarzon,Satellite telecommunications activities,48,1752,1742,630,2495430,2084678,217317,1867361,864085,13297,13746,0,0
Calabarzon,Other telecommunications activities,57,1028,1005,0,737202,701856,164103,537753,229807,789,-13,0,0
Calabarzon,"Computer programming, consultancy and related activities",12,1428,1424,10,4377348,3870584,413067,3457517,1027502,0,-326,0,0
Calabarzon,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Information and Communication,43,569,565,49,401483,257411,70971,186440,285953,4633,-48628,0,0
Mimaropa Region,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Radio broadcasting,10,76,76,0,27252,26860,10050,16809,12104,0,14,0,0
Mimaropa Region,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Wireless telecommunications activities,4,68,68,0,41189,31969,7960,24009,23236,4633,-1954,0,0
Mimaropa Region,Satellite telecommunications activities,20,280,276,0,232293,162011,35717,126294,164004,0,-45889,0,0
Mimaropa Region,Other telecommunications activities,6,28,28,0,9120,8226,2766,5459,4518,0,-455,0,0
Mimaropa Region,"Computer programming, consultancy and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Information and Communication,106,1633,1616,15,3411061,2949425,452687,2496738,1002482,24425,8159,0,17059
Bicol Region,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Radio broadcasting,30,338,338,15,471908,311373,107986,203387,293664,1461,3,0,17059
Bicol Region,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Wired telecommunications activities,3,184,182,0,236499,230854,27853,203001,43140,19777,-255,0,0
Bicol Region,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Satellite telecommunications activities,17,194,194,0,229335,156498,20990,135508,99729,2235,8481,0,0
Bicol Region,Other telecommunications activities,46,99,84,0,19896,16875,5004,11872,9684,940,-72,0,0
Bicol Region,"Computer programming, consultancy and related activities",3,650,650,0,1899479,1804166,175500,1628666,309020,0,2,0,0
Bicol Region,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Information and Communication,110,1805,1789,33,1372866,992077,426508,565569,910544,65125,2182,0,0
Western Visayas,"Publishing of books, periodicals and other publishing activities",7,81,80,0,20318,43407,2937,40470,3360,2514,0,0,0
Western Visayas,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Radio broadcasting,42,524,519,0,238986,157021,54478,102543,142238,7105,1473,0,0
Western Visayas,Television programming and broadcasting activities,6,54,54,4,382444,232458,121301,111157,286104,1931,214,0,0
Western Visayas,Wired telecommunications activities,3,106,105,0,87540,84687,20017,64670,44519,14962,2125,0,0
Western Visayas,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Satellite telecommunications activities,23,735,733,2,469498,325953,141081,184872,318624,38614,-682,0,0
Western Visayas,Other telecommunications activities,17,74,69,0,29947,20505,7377,13128,18155,0,-983,0,0
Western Visayas,"Computer programming, consultancy and related activities",10,194,191,27,135156,118374,73681,44692,91260,0,35,0,0
Western Visayas,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Information and Communication,236,13335,13317,212,17200057,14468479,6066916,8401563,9659182,71268,-16412,98053,4670
Central Visayas,"Publishing of books, periodicals and other publishing activities",12,842,842,0,709727,641636,423967,217669,504337,0,3656,0,0
Central Visayas,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Radio broadcasting,41,597,583,18,272205,210577,68851,141726,148649,0,24,0,0
Central Visayas,Television programming and broadcasting activities,4,74,74,0,48652,67780,14375,53405,-2810,0,2061,0,0
Central Visayas,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Wireless telecommunications activities,4,148,148,0,448640,385785,77176,308609,157381,0,1,0,0
Central Visayas,Satellite telecommunications activities,22,462,462,72,1226967,1319392,204525,1114868,535646,13791,-269,0,0
Central Visayas,Other telecommunications activities,27,202,202,0,94272,78188,32319,45868,53452,564,-301,0,0
Central Visayas,"Computer programming, consultancy and related activities",106,8749,8746,96,12529644,10328449,4298942,6029508,6803764,55886,-20982,0,4670
Central Visayas,"Data processing, hosting and related activities; web portals",12,2051,2051,22,1586043,1259760,919003,340756,1306647,404,92,98053,0
Central Visayas,Other information service activities,4,103,102,0,108728,8065,2577,5488,104313,0,0,0,0
Eastern Visayas,Information and Communication,85,2638,2612,1,981480,848339,453736,394603,661975,74891,3287,0,20
Eastern Visayas,"Publishing of books, periodicals and other publishing activities",3,12,11,0,5296,4462,2753,1709,3752,68,-26,0,0
Eastern Visayas,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Radio broadcasting,11,87,76,0,44611,34290,15279,19011,28791,0,-8,0,0
Eastern Visayas,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Satellite telecommunications activities,32,466,457,0,281253,223543,65548,157995,145620,5244,3096,0,0
Eastern Visayas,Other telecommunications activities,29,91,87,0,13238,11347,2408,8939,6322,235,-168,0,0
Eastern Visayas,"Computer programming, consultancy and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Information and Communication,75,499,471,15,433406,340459,62894,277565,189700,333,-1942,0,0
Zamboanga Peninsula,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Radio broadcasting,29,172,155,14,148444,134440,28315,106124,71085,33,1150,0,0
Zamboanga Peninsula,Television programming and broadcasting activities,3,33,33,0,21096,19495,5030,14465,8260,0,0,0,0
Zamboanga Peninsula,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Satellite telecommunications activities,13,137,137,0,66391,56884,11617,45268,23271,0,-3459,0,0
Zamboanga Peninsula,Other telecommunications activities,21,74,74,1,22904,18348,7708,10640,11616,0,-1216,0,0
Zamboanga Peninsula,"Computer programming, consultancy and related activities",5,50,39,0,135317,70150,5450,64700,72070,0,718,0,0
Zamboanga Peninsula,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Information and Communication,94,1062,1020,5,833423,637024,208185,428839,491665,114790,5099,0,6815
Northern Mindanao,"Publishing of books, periodicals and other publishing activities",3,26,26,0,35608,41345,8012,33333,6894,39,593,0,0
Northern Mindanao,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Radio broadcasting,38,373,357,0,313531,237299,81447,155852,173012,504,14,0,0
Northern Mindanao,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Satellite telecommunications activities,10,263,263,5,350546,219980,58939,161040,248739,112054,4967,0,0
Northern Mindanao,Other telecommunications activities,27,70,58,0,12273,9617,3682,5935,7909,2060,-545,0,0
Northern Mindanao,"Computer programming, consultancy and related activities",9,206,193,0,58812,57941,37784,20158,41217,132,105,0,0
Northern Mindanao,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Information and Communication,97,1135,1129,358,4993277,4717360,779182,3938178,1652539,3149,131585,0,0
Davao Region,"Publishing of books, periodicals and other publishing activities",8,90,90,9,1497938,1583500,124004,1459496,416956,92,-8785,0,0
Davao Region,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Radio broadcasting,24,182,179,3,324658,236842,71379,165463,179775,0,0,0,0
Davao Region,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Satellite telecommunications activities,10,179,179,334,641448,554153,52982,501171,288922,0,-121,0,0
Davao Region,Other telecommunications activities,27,107,107,0,131087,122012,29455,92556,44988,227,22827,0,0
Davao Region,"Computer programming, consultancy and related activities",21,417,414,12,2352467,2178067,478061,1700005,689382,2829,117664,0,0
Davao Region,"Data processing, hosting and related activities; web portals",3,89,89,0,16553,17215,15078,2137,15321,0,0,0,0
Davao Region,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Information and Communication,73,1197,1182,23,729793,626301,152502,473799,331805,19128,-6160,0,0
Soccsksargen,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Radio broadcasting,36,286,278,0,216855,156739,61657,95082,133908,71,-27,0,0
Soccsksargen,Television programming and broadcasting activities,3,39,39,0,37442,27116,10430,16686,22390,0,0,0,0
Soccsksargen,Wired telecommunications activities,3,136,136,0,104154,76907,28312,48595,64594,18068,-5951,0,0
Soccsksargen,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Satellite telecommunications activities,13,130,127,1,87210,81918,15706,66213,29710,790,-137,0,0
Soccsksargen,Other telecommunications activities,7,47,45,0,22002,20604,2210,18393,4485,19,-8,0,0
Soccsksargen,"Computer programming, consultancy and related activities",8,44,43,22,14124,23480,5299,18181,7401,180,-36,0,0
Soccsksargen,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Information and Communication,50,542,542,16,305819,259134,83395,175740,165437,111561,5447,0,0
Caraga,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Radio broadcasting,30,201,201,8,103908,85803,25166,60637,53832,14455,36,0,0
Caraga,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Wireless telecommunications activities,4,29,29,1,11307,12136,3441,8695,3804,830,0,0,0
Caraga,Satellite telecommunications activities,9,236,236,7,137710,112973,48311,64662,86144,75195,-805,0,0
Caraga,Other telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Computer programming, consultancy and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Information and Communication,9,110,110,3,78152,59215,18721,40494,45813,50568,-685,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Radio broadcasting,5,48,48,3,42131,32943,12893,20050,26018,0,7,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Satellite telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Other telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,"Computer programming, consultancy and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
